date,lake_surface_water_temperature
1995-06-07,279.068
1995-06-10,271.517
1995-06-13,278.394
1995-06-16,279.299
1995-06-26,275.999
1995-06-29,278.57
1995-07-02,281.0
1995-07-12,279.507
1995-07-15,279.07
1995-07-18,281.25
1996-07-02,275.453
1996-07-05,276.212
1996-07-15,273.329
1996-07-18,279.992
1996-07-21,276.179
1996-07-31,278.236
1996-08-03,280.273
1996-08-06,280.833
1996-08-09,281.305
1996-08-19,283.643
1996-08-22,282.945
1996-08-25,283.632
1996-09-04,281.531
1996-09-07,282.259
1996-09-10,283.786
1996-09-13,288.211
1996-09-20,286.71
1996-09-23,288.42
1996-09-26,287.81
1996-11-13,280.403
1996-11-16,291.297
1996-11-19,295.131
1996-11-22,291.263
1996-11-29,293.923
1996-12-08,293.146
1996-12-18,291.422
1996-12-21,292.025
1996-12-24,294.5
1997-01-03,293.085
1997-01-06,287.475
1997-01-09,285.067
1997-01-12,292.409
1997-01-25,288.638
1997-01-28,286.136
1997-02-07,285.842
1997-02-10,283.502
1997-02-13,285.867
1997-02-26,288.252
1997-03-01,288.493
1997-03-04,285.969
1997-03-07,283.059
1997-03-14,285.966
1997-03-17,282.84
1997-03-20,282.7
1997-03-23,286.428
1997-04-02,286.243
1997-04-05,283.068
1997-04-08,284.163
1997-04-11,283.698
1997-04-18,272.377
1997-04-21,284.364
1997-04-24,283.736
1997-04-27,284.023
1997-05-07,283.592
1997-05-10,282.768
1997-05-13,280.252
1997-05-16,281.409
1997-05-23,280.356
1997-05-26,279.281
1997-05-29,279.348
1997-06-01,279.769
1997-06-11,276.807
1997-06-14,275.874
1997-06-17,279.441
1997-06-20,277.358
1997-06-27,278.449
1997-07-03,281.126
1997-07-06,280.221
1997-07-16,279.439
1997-07-19,278.763
1997-07-22,279.463
1997-07-25,281.13
1997-08-01,279.596
1997-08-04,279.198
1997-08-07,279.09
1997-08-20,280.792
1997-08-23,281.793
1997-08-26,284.414
1997-08-29,283.353
1997-09-05,282.761
1997-09-08,285.776
1997-09-11,283.895
1997-09-14,284.637
1997-09-24,284.798
1997-10-03,284.83
1997-10-10,286.333
1997-10-13,272.867
1997-10-16,282.138
1997-10-19,286.088
1997-10-29,286.555
1997-11-01,280.156
1997-11-04,290.362
1997-11-07,291.761
1997-11-14,271.9
1997-11-17,285.571
1997-11-20,290.382
1997-11-23,284.34
1997-12-03,287.956
1997-12-06,285.782
1997-12-09,288.354
1997-12-12,295.122
1997-12-19,287.936
1997-12-22,287.453
1997-12-25,288.931
1997-12-28,290.835
1998-01-07,288.093
1998-01-10,288.318
1998-01-13,291.012
1998-01-16,290.876
1998-01-23,280.735
1998-01-26,289.498
1998-01-29,288.584
1998-02-01,290.339
1998-02-11,288.796
1998-02-14,288.92
1998-02-17,289.777
1998-02-20,288.468
1998-02-27,277.181
1998-03-02,289.736
1998-03-05,289.144
1998-03-18,286.089
1998-03-21,288.68
1998-03-24,288.633
1998-03-27,288.427
1998-04-03,285.149
1998-04-06,285.496
1998-04-09,287.095
1998-04-12,286.101
