date,water_surface_height_above_reference_datum
2000-02-17,3686.05
2000-02-24,3687.03
2000-03-14,3687.08
2000-03-21,3687.02
2000-04-01,3687.0
2000-04-08,3686.95
2000-04-16,3686.92
2000-04-23,3686.86
2000-04-30,3686.86
2000-05-11,3686.83
2000-05-19,3686.82
2000-05-26,3686.75
2000-06-02,3686.84
2000-06-10,3686.75
2000-06-17,3686.73
2000-06-28,3686.68
2000-07-05,3686.67
2000-07-12,3686.7
2000-07-20,3686.79
2000-07-27,3686.61
2000-08-03,3686.5
2000-08-14,3686.42
2000-08-22,3686.539
2000-08-29,3686.41
2000-09-05,3686.39
2000-09-13,3686.23
2000-09-20,3686.19
2000-10-01,3686.14
2000-10-08,3686.05
2000-10-16,3685.99
2000-10-23,3685.961
2000-10-30,3685.81
2000-12-28,3686.2
2001-01-01,3686.21
2001-01-08,3686.56
2001-01-19,3686.48
2001-01-26,3687.31
2001-02-02,3687.48
2001-02-10,3687.7
2001-02-17,3687.13
2001-02-24,3687.97
2001-03-07,3688.01
2001-03-25,3688.039
2001-04-02,3687.98
2001-04-09,3688.02
2001-04-16,3687.97
2001-04-24,3687.97
2001-05-05,3687.961
2001-05-12,3687.961
2001-05-19,3687.95
2001-05-27,3687.95
2001-06-03,3687.89
2001-06-10,3687.91
2001-06-28,3687.87
2001-07-06,3687.91
2001-07-13,3687.9
2001-07-20,3687.9
2001-07-31,3687.86
2001-08-07,3687.87
2001-08-15,3687.79
2001-08-22,3687.9
2001-08-29,3687.76
2001-09-06,3687.84
2001-09-13,3687.85
2001-09-24,3687.81
2001-10-01,3687.79
2001-10-09,3687.78
2001-10-16,3687.72
2001-10-27,3687.63
2001-11-03,3687.7
2001-11-10,3687.44
2001-11-18,3687.41
2001-11-25,3687.59
2001-12-02,3687.45
2001-12-13,3687.51
2001-12-21,3687.53
2001-12-28,3687.539
2002-01-01,3687.38
2002-01-08,3687.16
2002-01-19,3687.22
2002-01-26,3687.36
2002-02-02,3686.76
2002-02-10,3686.92
2002-02-17,3687.48
2002-02-24,3687.68
2002-03-07,3687.63
2002-03-14,3687.73
2002-04-02,3687.68
2002-04-09,3687.64
2002-04-16,3687.48
2002-04-24,3687.69
2002-05-05,3687.67
2002-05-12,3687.64
2002-05-19,3687.461
2002-05-27,3687.539
