year,t2m_C
1950,7.493634595318322
1951,7.4756840425677025
1952,7.6419608264990115
1953,7.749627656111746
1954,7.571948010005092
1955,7.286896277856873
1956,7.128187910476892
1957,7.731012198833473
1958,8.092051155024043
1959,8.138335025408102
1960,7.884626898982802
1961,8.574786514540222
1962,7.582294573782225
1963,8.033892427059053
1964,7.848043920461464
1965,7.925124727010858
1966,8.436503852165757
1967,7.890432640991794
1968,7.575113296717684
1969,8.64844137939786
1970,8.047084169186183
1971,7.621580864466874
1972,8.259619178938541
1973,8.611696782986778
1974,7.604621972550187
1975,7.996780256993152
1976,7.778942743358873
1977,8.28618901381624
1978,7.97571217464441
1979,8.462277792620554
1980,8.791049395770846
1981,8.073090385854618
1982,8.280450003092847
1983,9.301554721175089
1984,7.800667604807667
1985,7.820217772794659
1986,7.946264568770151
1987,8.515989717864423
1988,8.81943084438619
1989,8.416682050912323
1990,8.504045681911094
1991,8.8198951131114
1992,8.266452608919428
1993,8.250174214672214
1994,8.92837687887959
1995,9.394415464582906
1996,8.795906082228333
1997,8.89373570655549
1998,9.933575095484263
1999,8.627508353996495
2000,8.590155146686405
2001,8.570539380024016
2002,9.060979853755308
2003,9.127451435190599
2004,8.924951825339747
2005,8.767075487164684
2006,8.958631542564547
2007,9.319399559094
2008,8.755720859191944
2009,8.982739725575547
2010,9.773309167199779
2011,8.935045715224874
2012,8.908622990369437
2013,8.974618134729502
2014,9.25468379446302
2015,9.119858003051098
2016,9.826069846369512
2017,9.430291647471213
2018,9.152892380229579
2019,9.574447417581064
2020,9.712920687392483
2021,9.195581781431025
2022,8.725675834800711
2023,10.045395323874795
2024,10.516466153997783
2025,9.19460239383229
