year,tp_mm
1950,676.1869095524688
1951,839.2436703849384
1952,940.5978504821685
1953,893.861925694022
1954,864.7350149826707
1955,874.047120010207
1956,668.8761170252193
1957,789.2804177649741
1958,645.3060533158318
1959,733.6562368237887
1960,714.3873796596031
1961,569.7308391677949
1962,602.6750447223898
1963,855.9638446869826
1964,475.3957602943052
1965,495.52710481878705
1966,485.7678873201894
1967,781.9293312503978
1968,777.7109852345945
1969,649.7644764290219
1970,813.6666375810987
1971,595.2667947744496
1972,622.1137428045392
1973,613.654357642063
1974,799.0250413779795
1975,709.5602068192784
1976,655.2965333744351
1977,818.4571734691729
1978,897.3662214827185
1979,835.2404471481074
1980,450.03562626880625
1981,797.5243321297212
1982,743.0165049305946
1983,491.03316362059195
1984,1053.7065863697046
1985,1098.2156630176155
1986,856.8194740417563
1987,707.5868500512983
1988,872.1463157207868
1989,706.1305545399531
1990,711.4490779957059
1991,667.9921332221174
1992,616.1577206785568
1993,922.3282186834042
1994,725.3474905778563
1995,537.197191940326
1996,686.2806580696154
1997,666.8155716885635
1998,480.1817915883778
1999,692.3571998181378
2000,669.3585840726105
2001,882.0637414962307
2002,652.0334619310845
2003,668.4607648176541
2004,661.5525840018875
2005,791.562753081266
2006,710.6832488500286
2007,606.0677654363801
2008,671.3607602099258
2009,638.12076450203
2010,598.2711380240636
2011,758.8293331694169
2012,864.1194509615183
2013,772.62959680476
2014,740.1375299761663
2015,729.4517248547324
2016,542.0363596890472
2017,671.5148554699717
2018,812.5212404508756
2019,765.4593392744121
2020,647.8162192210945
2021,747.9458901338683
2022,566.9619741198472
2023,257.0039597635845
2024,561.4369771471544
2025,871.3792571267395
